Filename,Chapter,Title
chapter_01.txt,I,Down the Rabbit-Hole
chapter_02.txt,II,The Pool of Tears
chapter_03.txt,III,A Caucus-Race and a Long Tale
chapter_04.txt,IV,The Rabbit Sends in a Little Bill
chapter_05.txt,V,Advice from a Caterpillar
chapter_06.txt,VI,Pig and Pepper
chapter_07.txt,VII,A Mad Tea-Party
chapter_08.txt,VIII,The Queen's Croquet-Ground
chapter_09.txt,IX,The Mock Turtle's Story
chapter_10.txt,X,The Lobster Quadrille
chapter_11.txt,XI,Who Stole the Tarts?
chapter_12.txt,XII,Alice's Evidence
